IPAddress;Hostname;Status
10.49.42.119;IMM2-3440b58b7309.DO-DAT.INT;Erfolgreich gepingt
10.49.42.120;N/A;Ping fehlgeschlagen
10.49.42.121;N/A;Ping fehlgeschlagen
10.49.42.122;N/A;Ping fehlgeschlagen
10.49.42.123;N/A;Ping fehlgeschlagen
10.49.42.124;N/A;Ping fehlgeschlagen
10.49.42.125;N/A;Ping fehlgeschlagen
10.49.42.126;DATVWS91.DO-DAT.INT;Erfolgreich gepingt
10.49.42.127;DATVWS90.DO-DAT.INT;Erfolgreich gepingt
10.49.42.128;DATVWS92.DO-DAT.INT;Erfolgreich gepingt
10.49.42.129;N/A;Ping fehlgeschlagen
10.49.42.130;N/A;Ping fehlgeschlagen
10.49.42.131;N/A;Ping fehlgeschlagen
10.49.42.132;N/A;Ping fehlgeschlagen
10.49.42.133;N/A;Ping fehlgeschlagen
10.49.42.134;N/A;Ping fehlgeschlagen
10.49.42.135;N/A;Ping fehlgeschlagen
10.49.42.136;N/A;Ping fehlgeschlagen
10.49.42.137;N/A;Ping fehlgeschlagen
10.49.42.138;DE-W-V-W-0016.DO-DAT.INT;Erfolgreich gepingt
10.49.42.139;N/A;Ping fehlgeschlagen
10.49.42.140;N/A;Ping fehlgeschlagen
10.49.42.141;N/A;Ping fehlgeschlagen
10.49.42.142;N/A;Ping fehlgeschlagen
10.49.42.143;N/A;Ping fehlgeschlagen
10.49.42.144;N/A;Ping fehlgeschlagen
10.49.42.145;N/A;Ping fehlgeschlagen
10.49.42.146;N/A;Ping fehlgeschlagen
10.49.42.147;N/A;Ping fehlgeschlagen
10.49.42.148;N/A;Ping fehlgeschlagen
10.49.42.149;IMM2-3440b58b33ee.DO-DAT.INT;Erfolgreich gepingt
10.49.42.150;datesxprod15.do-dat.int;Erfolgreich gepingt
10.49.42.151;N/A;Ping fehlgeschlagen
10.49.42.152;PROD_RU_S.DO-DAT.INT;Erfolgreich gepingt
10.49.42.153;DE-M-H-M-0003.DO-DAT.INT;Erfolgreich gepingt
10.49.42.154;N/A;Ping fehlgeschlagen
10.49.42.155;N/A;Ping fehlgeschlagen
10.49.42.156;DATVWS84.DO-DAT.INT;Erfolgreich gepingt
10.49.42.157;N/A;Ping fehlgeschlagen
10.49.42.158;N/A;Ping fehlgeschlagen
10.49.42.159;N/A;Ping fehlgeschlagen
10.49.42.160;N/A;Ping fehlgeschlagen
10.49.42.161;PROD_SK.DO-DAT.INT;Erfolgreich gepingt
10.49.42.162;N/A;Ping fehlgeschlagen
10.49.42.163;DE-M-H-M-0001.DO-DAT.INT;Erfolgreich gepingt
10.49.42.164;N/A;Ping fehlgeschlagen
10.49.42.165;N/A;Ping fehlgeschlagen
10.49.42.166;N/A;Ping fehlgeschlagen
10.49.42.167;N/A;Ping fehlgeschlagen
10.49.42.168;N/A;Ping fehlgeschlagen
10.49.42.169;N/A;Ping fehlgeschlagen
10.49.42.170;N/A;Ping fehlgeschlagen
10.49.42.171;N/A;Ping fehlgeschlagen
10.49.42.172;N/A;Ping fehlgeschlagen
10.49.42.173;DE-W-V-W-0004.DO-DAT.INT;Erfolgreich gepingt
10.49.42.174;DE-W-V-W-0005.DO-DAT.INT;Erfolgreich gepingt
10.49.42.175;N/A;Ping fehlgeschlagen
10.49.42.176;N/A;Ping fehlgeschlagen
10.49.42.177;DATVWS89.DO-DAT.INT;Erfolgreich gepingt
10.49.42.178;N/A;Ping fehlgeschlagen
10.49.42.179;N/A;Ping fehlgeschlagen
10.49.42.180;N/A;Ping fehlgeschlagen
10.49.42.181;N/A;Ping fehlgeschlagen
10.49.42.182;N/A;Ping fehlgeschlagen
10.49.42.183;N/A;Ping fehlgeschlagen
10.49.42.184;N/A;Ping fehlgeschlagen
10.49.42.185;N/A;Ping fehlgeschlagen
10.49.42.186;N/A;Ping fehlgeschlagen
10.49.42.187;N/A;Ping fehlgeschlagen
10.49.42.188;N/A;Ping fehlgeschlagen
10.49.42.189;N/A;Ping fehlgeschlagen
10.49.42.190;N/A;Ping fehlgeschlagen
10.49.42.191;N/A;Ping fehlgeschlagen
10.49.42.192;N/A;Ping fehlgeschlagen
10.49.42.193;N/A;Ping fehlgeschlagen
10.49.42.194;N/A;Ping fehlgeschlagen
10.49.42.195;N/A;Ping fehlgeschlagen
10.49.42.196;N/A;Ping fehlgeschlagen
10.49.42.197;N/A;Ping fehlgeschlagen
10.49.42.198;N/A;Ping fehlgeschlagen
10.49.42.199;N/A;Ping fehlgeschlagen
10.49.42.200;N/A;Ping fehlgeschlagen
10.49.42.201;N/A;Ping fehlgeschlagen
10.49.42.202;N/A;Ping fehlgeschlagen
10.49.42.203;N/A;Ping fehlgeschlagen
10.49.42.204;N/A;Ping fehlgeschlagen
10.49.42.205;N/A;Ping fehlgeschlagen
10.49.42.206;N/A;Ping fehlgeschlagen
10.49.42.207;N/A;Ping fehlgeschlagen
10.49.42.208;N/A;Ping fehlgeschlagen
10.49.42.209;N/A;Ping fehlgeschlagen
10.49.42.210;N/A;Ping fehlgeschlagen
10.49.42.211;N/A;Ping fehlgeschlagen
10.49.42.212;N/A;Ping fehlgeschlagen
10.49.42.213;N/A;Ping fehlgeschlagen
10.49.42.214;N/A;Ping fehlgeschlagen
10.49.42.215;N/A;Ping fehlgeschlagen
10.49.42.216;N/A;Ping fehlgeschlagen
10.49.42.217;N/A;Ping fehlgeschlagen
10.49.42.218;N/A;Ping fehlgeschlagen
10.49.42.219;N/A;Ping fehlgeschlagen
10.49.42.220;N/A;Ping fehlgeschlagen
10.49.42.221;N/A;Ping fehlgeschlagen
10.49.42.222;N/A;Ping fehlgeschlagen
10.49.42.223;N/A;Ping fehlgeschlagen
10.49.42.224;N/A;Ping fehlgeschlagen
10.49.42.225;N/A;Ping fehlgeschlagen
10.49.42.226;N/A;Ping fehlgeschlagen
10.49.42.227;N/A;Ping fehlgeschlagen
10.49.42.228;N/A;Ping fehlgeschlagen
10.49.42.229;N/A;Ping fehlgeschlagen
10.49.42.230;N/A;Ping fehlgeschlagen
10.49.42.231;N/A;Ping fehlgeschlagen
10.49.42.232;N/A;Ping fehlgeschlagen
10.49.42.233;N/A;Ping fehlgeschlagen
10.49.42.234;N/A;Ping fehlgeschlagen
10.49.42.235;N/A;Ping fehlgeschlagen
10.49.42.236;N/A;Ping fehlgeschlagen
10.49.42.237;N/A;Ping fehlgeschlagen
10.49.42.238;N/A;Ping fehlgeschlagen
10.49.42.239;N/A;Ping fehlgeschlagen
10.49.42.240;N/A;Ping fehlgeschlagen
10.49.42.241;N/A;Ping fehlgeschlagen
10.49.42.242;N/A;Ping fehlgeschlagen
10.49.42.243;N/A;Ping fehlgeschlagen
10.49.42.244;N/A;Ping fehlgeschlagen
10.49.42.245;N/A;Ping fehlgeschlagen
10.49.42.246;N/A;Ping fehlgeschlagen
10.49.42.247;N/A;Ping fehlgeschlagen
10.49.42.248;N/A;Ping fehlgeschlagen
10.49.42.249;N/A;Ping fehlgeschlagen
10.49.42.250;N/A;Ping fehlgeschlagen
10.49.42.251;N/A;Ping fehlgeschlagen
10.49.42.252;N/A;Ping fehlgeschlagen
10.49.42.253;N/A;Ping fehlgeschlagen
10.49.42.254;N/A;Ping fehlgeschlagen
10.49.42.255;N/A;Ping fehlgeschlagen
10.49.43.0;N/A;Ping fehlgeschlagen
10.49.43.1;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.43.2;de-s-v-l-7001.do-dat.int;Erfolgreich gepingt
10.49.43.3;N/A;Ping fehlgeschlagen
10.49.43.4;N/A;Ping fehlgeschlagen
10.49.43.5;de-s-v-l-0041.do-dat.int;Erfolgreich gepingt
10.49.43.6;N/A;Ping fehlgeschlagen
10.49.43.7;de-s-v-l-0042.do-dat.int;Erfolgreich gepingt
10.49.43.8;N/A;Ping fehlgeschlagen
10.49.43.9;N/A;Ping fehlgeschlagen
10.49.43.10;N/A;Ping fehlgeschlagen
10.49.43.11;DE-W-V-W-0010.DO-DAT.INT;Erfolgreich gepingt
10.49.43.12;DATVWS65.DO-DAT.INT;Erfolgreich gepingt
10.49.43.13;DATVWS70.DO-DAT.INT;Erfolgreich gepingt
10.49.43.14;DE-W-V-W-0026.DO-DAT.INT;Erfolgreich gepingt
10.49.43.15;DATVWS63.DO-DAT.INT;Erfolgreich gepingt
10.49.43.16;DE-W-V-W-0006.DO-DAT.INT;Erfolgreich gepingt
10.49.43.17;DE-W-V-W-0022.DO-DAT.INT;Erfolgreich gepingt
10.49.43.18;de-w-v-w-0031.DO-DAT.INT;Erfolgreich gepingt
10.49.43.19;de-w-v-w-0033.DO-DAT.INT;Erfolgreich gepingt
10.49.43.20;DE-W-V-W-0024.DO-DAT.INT;Erfolgreich gepingt
10.49.43.21;DE-W-V-W-0027.DO-DAT.INT;Erfolgreich gepingt
10.49.43.22;N/A;Ping fehlgeschlagen
10.49.43.23;N/A;Ping fehlgeschlagen
10.49.43.24;N/A;Ping fehlgeschlagen
10.49.43.25;N/A;Ping fehlgeschlagen
10.49.43.26;N/A;Ping fehlgeschlagen
10.49.43.27;N/A;Ping fehlgeschlagen
10.49.43.28;N/A;Ping fehlgeschlagen
10.49.43.29;N/A;Ping fehlgeschlagen
10.49.43.30;N/A;Ping fehlgeschlagen
10.49.43.31;N/A;Ping fehlgeschlagen
10.49.43.32;N/A;Ping fehlgeschlagen
10.49.43.33;N/A;Ping fehlgeschlagen
10.49.43.34;N/A;Ping fehlgeschlagen
10.49.43.35;N/A;Ping fehlgeschlagen
10.49.43.36;N/A;Ping fehlgeschlagen
10.49.43.37;N/A;Ping fehlgeschlagen
10.49.43.38;N/A;Ping fehlgeschlagen
10.49.43.39;N/A;Ping fehlgeschlagen
10.49.43.40;N/A;Ping fehlgeschlagen
10.49.43.41;N/A;Ping fehlgeschlagen
10.49.43.42;N/A;Ping fehlgeschlagen
10.49.43.43;N/A;Ping fehlgeschlagen
10.49.43.44;DATWIN25.DO-DAT.INT;Erfolgreich gepingt
10.49.43.45;N/A;Ping fehlgeschlagen
10.49.43.46;N/A;Ping fehlgeschlagen
10.49.43.47;N/A;Ping fehlgeschlagen
10.49.43.48;N/A;Ping fehlgeschlagen
10.49.43.49;N/A;Ping fehlgeschlagen
10.49.43.50;N/A;Ping fehlgeschlagen
10.49.43.51;N/A;Ping fehlgeschlagen
10.49.43.52;N/A;Ping fehlgeschlagen
10.49.43.53;N/A;Ping fehlgeschlagen
10.49.43.54;DE-W-V-W-8005.DO-DAT.INT;Erfolgreich gepingt
10.49.43.55;DE-W-V-W-0002.DO-DAT.INT;Erfolgreich gepingt
10.49.43.56;de-w-v-w-0023.DO-DAT.INT;Erfolgreich gepingt
10.49.43.57;datlx57.do-dat.int;Erfolgreich gepingt
10.49.43.58;N/A;Ping fehlgeschlagen
10.49.43.59;N/A;Ping fehlgeschlagen
10.49.43.60;N/A;Ping fehlgeschlagen
10.49.43.61;N/A;Ping fehlgeschlagen
10.49.43.62;N/A;Ping fehlgeschlagen
10.49.43.63;N/A;Ping fehlgeschlagen
10.49.43.64;de-w-v-w-0003.DO-DAT.INT;Erfolgreich gepingt
10.49.43.65;DE-W-V-W-8004.DO-DAT.INT;Erfolgreich gepingt
10.49.43.66;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.43.67;N/A;Ping fehlgeschlagen
10.49.43.68;N/A;Ping fehlgeschlagen
10.49.43.69;DATVWS62.DO-DAT.INT;Erfolgreich gepingt
10.49.43.70;DATVWS83.DO-DAT.INT;Erfolgreich gepingt
10.49.43.71;N/A;Ping fehlgeschlagen
10.49.43.72;de-w-v-w-0032.DO-DAT.INT;Erfolgreich gepingt
10.49.43.73;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.43.74;N/A;Ping fehlgeschlagen
10.49.43.75;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.43.76;DE-W-V-W-0025.DO-DAT.INT;Erfolgreich gepingt
10.49.43.77;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.43.78;datlx78.do-dat.int;Erfolgreich gepingt
10.49.43.79;N/A;Ping fehlgeschlagen
10.49.43.80;N/A;Ping fehlgeschlagen
10.49.43.81;DE-W-V-W-0028.DO-DAT.INT;Erfolgreich gepingt
10.49.43.82;N/A;Ping fehlgeschlagen
10.49.43.83;N/A;Ping fehlgeschlagen
10.49.43.84;N/A;Ping fehlgeschlagen
10.49.43.85;N/A;Ping fehlgeschlagen
10.49.43.86;N/A;Ping fehlgeschlagen
10.49.43.87;N/A;Ping fehlgeschlagen
10.49.43.88;N/A;Ping fehlgeschlagen
10.49.43.89;N/A;Ping fehlgeschlagen
10.49.43.90;DE-S-V-L-7000.do-dat.int;Erfolgreich gepingt
10.49.43.91;N/A;Ping fehlgeschlagen
10.49.43.92;N/A;Ping fehlgeschlagen
10.49.43.93;N/A;Ping fehlgeschlagen
10.49.43.94;N/A;Ping fehlgeschlagen
10.49.43.95;N/A;Ping fehlgeschlagen
10.49.43.96;N/A;Ping fehlgeschlagen
10.49.43.97;N/A;Ping fehlgeschlagen
10.49.43.98;N/A;Ping fehlgeschlagen
10.49.43.99;datlx30.do-dat.int;Erfolgreich gepingt
10.49.43.100;N/A;Ping fehlgeschlagen
10.49.43.101;N/A;Ping fehlgeschlagen
10.49.43.102;N/A;Ping fehlgeschlagen
10.49.43.103;N/A;Ping fehlgeschlagen
10.49.43.104;N/A;Ping fehlgeschlagen
10.49.43.105;N/A;Ping fehlgeschlagen
10.49.43.106;N/A;Ping fehlgeschlagen
10.49.43.107;N/A;Ping fehlgeschlagen
10.49.43.108;N/A;Ping fehlgeschlagen
10.49.43.109;N/A;Ping fehlgeschlagen
10.49.43.110;N/A;Ping fehlgeschlagen
10.49.43.111;N/A;Ping fehlgeschlagen
10.49.43.112;N/A;Ping fehlgeschlagen
10.49.43.113;N/A;Ping fehlgeschlagen
10.49.43.114;N/A;Ping fehlgeschlagen
10.49.43.115;N/A;Ping fehlgeschlagen
10.49.43.116;N/A;Ping fehlgeschlagen
10.49.43.117;N/A;Ping fehlgeschlagen
10.49.43.118;N/A;Ping fehlgeschlagen
10.49.43.119;N/A;Ping fehlgeschlagen
10.49.43.120;N/A;Ping fehlgeschlagen
10.49.43.121;N/A;Ping fehlgeschlagen
10.49.43.122;N/A;Ping fehlgeschlagen
10.49.43.123;N/A;Ping fehlgeschlagen
10.49.43.124;N/A;Ping fehlgeschlagen
10.49.43.125;N/A;Ping fehlgeschlagen
10.49.43.126;N/A;Ping fehlgeschlagen
10.49.43.127;N/A;Ping fehlgeschlagen
10.49.43.128;N/A;Ping fehlgeschlagen
10.49.43.129;N/A;Ping fehlgeschlagen
10.49.43.130;N/A;Ping fehlgeschlagen
10.49.43.131;N/A;Ping fehlgeschlagen
10.49.43.132;N/A;Ping fehlgeschlagen
10.49.43.133;N/A;Ping fehlgeschlagen
10.49.43.134;N/A;Ping fehlgeschlagen
10.49.43.135;N/A;Ping fehlgeschlagen
10.49.43.136;N/A;Ping fehlgeschlagen
10.49.43.137;N/A;Ping fehlgeschlagen
10.49.43.138;N/A;Ping fehlgeschlagen
10.49.43.139;N/A;Ping fehlgeschlagen
10.49.43.140;N/A;Ping fehlgeschlagen
10.49.43.141;N/A;Ping fehlgeschlagen
10.49.43.142;N/A;Ping fehlgeschlagen
10.49.43.143;N/A;Ping fehlgeschlagen
10.49.43.144;N/A;Ping fehlgeschlagen
10.49.43.145;N/A;Ping fehlgeschlagen
10.49.43.146;N/A;Ping fehlgeschlagen
10.49.43.147;N/A;Ping fehlgeschlagen
10.49.43.148;N/A;Ping fehlgeschlagen
10.49.43.149;N/A;Ping fehlgeschlagen
10.49.43.150;N/A;Ping fehlgeschlagen
10.49.43.151;N/A;Ping fehlgeschlagen
10.49.43.152;N/A;Ping fehlgeschlagen
10.49.43.153;N/A;Ping fehlgeschlagen
10.49.43.154;N/A;Ping fehlgeschlagen
10.49.43.155;DATENTVM003.DO-DAT.INT;Erfolgreich gepingt
10.49.43.156;N/A;Ping fehlgeschlagen
10.49.43.157;N/A;Ping fehlgeschlagen
10.49.43.158;comXlineUE.DO-DAT.INT;Erfolgreich gepingt
10.49.43.159;N/A;Ping fehlgeschlagen
10.49.43.160;N/A;Ping fehlgeschlagen
10.49.43.161;N/A;Ping fehlgeschlagen
10.49.43.162;N/A;Ping fehlgeschlagen
10.49.43.163;N/A;Ping fehlgeschlagen
10.49.43.164;N/A;Ping fehlgeschlagen
10.49.43.165;N/A;Ping fehlgeschlagen
10.49.43.166;N/A;Ping fehlgeschlagen
10.49.43.167;N/A;Ping fehlgeschlagen
10.49.43.168;N/A;Ping fehlgeschlagen
10.49.43.169;N/A;Ping fehlgeschlagen
10.49.43.170;N/A;Ping fehlgeschlagen
10.49.43.171;N/A;Ping fehlgeschlagen
10.49.43.172;N/A;Ping fehlgeschlagen
10.49.43.173;N/A;Ping fehlgeschlagen
10.49.43.174;N/A;Ping fehlgeschlagen
10.49.43.175;N/A;Ping fehlgeschlagen
10.49.43.176;N/A;Ping fehlgeschlagen
10.49.43.177;N/A;Ping fehlgeschlagen
10.49.43.178;N/A;Ping fehlgeschlagen
10.49.43.179;N/A;Ping fehlgeschlagen
10.49.43.180;N/A;Ping fehlgeschlagen
10.49.43.181;N/A;Ping fehlgeschlagen
10.49.43.182;N/A;Ping fehlgeschlagen
10.49.43.183;N/A;Ping fehlgeschlagen
10.49.43.184;N/A;Ping fehlgeschlagen
10.49.43.185;N/A;Ping fehlgeschlagen
10.49.43.186;N/A;Ping fehlgeschlagen
10.49.43.187;N/A;Ping fehlgeschlagen
10.49.43.188;N/A;Ping fehlgeschlagen
10.49.43.189;N/A;Ping fehlgeschlagen
10.49.43.190;N/A;Ping fehlgeschlagen
10.49.43.191;N/A;Ping fehlgeschlagen
10.49.43.192;N/A;Ping fehlgeschlagen
10.49.43.193;N/A;Ping fehlgeschlagen
10.49.43.194;N/A;Ping fehlgeschlagen
10.49.43.195;N/A;Ping fehlgeschlagen
10.49.43.196;N/A;Ping fehlgeschlagen
10.49.43.197;N/A;Ping fehlgeschlagen
10.49.43.198;N/A;Ping fehlgeschlagen
10.49.43.199;N/A;Ping fehlgeschlagen
10.49.43.200;datex3zfs03-vip.do-dat.int;Erfolgreich gepingt
10.49.43.201;datex3zfs03.do-dat.int;Erfolgreich gepingt
10.49.43.202;datex3zfs03-b.do-dat.int;Erfolgreich gepingt
10.49.43.203;datex4zfs04-vip.do-dat.int;Erfolgreich gepingt
10.49.43.204;datex4zfs04.do-dat.int;Erfolgreich gepingt
